Name, H, W, R, S, C, M, Sx, Sy, E_size, F_size, R_size, S_size, C_size, M_size, Start time, Finish time, Total cycles, Load Cycles, GEMM Cycles, Store Cycles, Load Util%, GEMM Util%, Store Util%, Reward, Episode, Step, Overflow_count
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 22, 1, 1, 32, 128, 0, 512221, 512221, 247314, 494208, 0, 48.283, 96.483, 0.000,-1.031003,3,23,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 22, 1, 1, 32, 128, 0, 291451, 291451, 246933, 272376, 0, 84.725, 93.455, 0.000,-0.155630,3,24,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 3, 22, 1, 1, 32, 128, 0, 256764, 256764, 247287, 204120, 0, 96.309, 79.497, 0.000,-0.018093,3,25,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 22, 1, 1, 32, 128, 0, 291451, 291451, 246933, 272376, 0, 84.725, 93.455, 0.000,-0.155630,3,26,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 22, 1, 1, 32, 128, 0, 291451, 291451, 246933, 272376, 0, 84.725, 93.455, 0.000,-0.155630,3,27,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 22, 1, 1, 32, 128, 0, 512221, 512221, 247314, 494208, 0, 48.283, 96.483, 0.000,-1.031003,3,28,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 22, 1, 1, 32, 128, 0, 512221, 512221, 247314, 494208, 0, 48.283, 96.483, 0.000,-1.031003,3,29,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 22, 1, 1, 32, 128, 0, 512221, 512221, 247314, 494208, 0, 48.283, 96.483, 0.000,-1.031003,3,30,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 22, 1, 1, 32, 128, 0, 291451, 291451, 246933, 272376, 0, 84.725, 93.455, 0.000,-0.155630,3,31,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 23, 1, 1, 32, 128, 0, 512223, 512223, 247523, 494208, 0, 48.323, 96.483, 0.000,-1.031011,3,32,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 24, 1, 1, 32, 128, 0, 291625, 291625, 246813, 272376, 0, 84.634, 93.399, 0.000,-0.156320,3,33,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 24, 1, 1, 32, 128, 0, 512263, 512263, 247053, 494208, 0, 48.228, 96.475, 0.000,-1.031170,3,34,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 24, 1, 1, 32, 128, 0, 291625, 291625, 246813, 272376, 0, 84.634, 93.399, 0.000,-0.156320,3,35,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 3, 24, 1, 1, 32, 128, 0, 256650, 256650, 246786, 204120, 0, 96.157, 79.532, 0.000,-0.017641,3,36,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 24, 1, 1, 32, 128, 0, 291625, 291625, 246813, 272376, 0, 84.634, 93.399, 0.000,-0.156320,3,37,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 25, 1, 1, 32, 128, 0, 291791, 291791, 247763, 272376, 0, 84.911, 93.346, 0.000,-0.156978,3,38,0,
